Eingelesene Konstanten: 
µ=  1.822e-05
a=  2.603e-05
g=  9.81
dL=  0.0005
t_Wand=  353.15
t_Raum=  300.15
u1_0=  0
u1_0=  0


Anzahl der Schleifendurchläufe: 189078


Die approximierten Werte für U:
                           0.01m                 0.12m                  0.2m                  0.3m               0.6995m                    1m
________________________________________________________________________________________________________________________________________________
    0m  |                     0                     0                     0                     0                     0                     0
0.001m  |             0.0422086             0.0896206              0.103291              0.115433               0.14508              0.159596
0.0015m  |             0.0649241              0.157574              0.184645               0.20874              0.267704              0.296618
0.002m  |             0.0730178              0.206199               0.24608              0.281721              0.369288              0.412348
0.003m  |             0.0640599              0.255636              0.317999               0.37454              0.515485               0.58548
0.004m  |             0.0442315              0.258612               0.33727              0.410269              0.596633              0.690703
0.005m  |             0.0269274              0.234142              0.321549               0.40527              0.626215              0.740321
0.006m  |             0.0152187              0.197176              0.285974              0.374329              0.617366              0.746573
0.007m  |            0.00820667              0.157757              0.242023              0.329516              0.582041              0.720962
0.008m  |             0.0042879              0.121551              0.197371              0.279739               0.53042              0.673705
0.009m  |            0.00219001             0.0910336              0.156444              0.230889              0.470604               0.61338
 0.01m  |            0.00109888             0.0667112              0.121285              0.186379              0.408604              0.546785
0.015m  |           2.84552e-05             0.0115521             0.0276787             0.0517964              0.162909              0.249037
 0.02m  |           5.34299e-07            0.00161006            0.00523627             0.0118744             0.0532897             0.0927814
0.025m  |           7.26776e-09           0.000178053           0.000900773            0.00237938             0.0157194             0.0311912
 0.03m  |           7.28945e-11           1.52915e-05           0.000177779           0.000394111            0.00427281            0.00975441
0.035m  |           5.56102e-13           1.09108e-06           5.15632e-05           5.27494e-05            0.00104729            0.00286717
 0.04m  |           3.21032e-15           7.40131e-08           1.60503e-05           9.00388e-06           0.000220047           0.000787187
 0.05m  |          -2.09239e-17           1.65245e-10           1.51574e-07           1.73075e-07           2.49587e-06           1.22166e-05




Die approximierten Werte für V:
                           0.01m                 0.12m                  0.2m                  0.3m               0.6995m                    1m
________________________________________________________________________________________________________________________________________________
    0m  |                     0                     0                     0                     0                     0                     0
0.001m  |                     0                     0                     0                     0                     0                     0
0.0015m  |           -0.00073972          -0.000104863          -7.12505e-05          -5.24845e-05          -2.77663e-05          -2.12303e-05
0.002m  |           -0.00214963          -0.000312206           -0.00021252          -0.000156722          -8.30515e-05           -6.3534e-05
0.003m  |           -0.00634159           -0.00101052          -0.000692838          -0.000513192          -0.000273743          -0.000209824
0.004m  |            -0.0110279           -0.00201833           -0.00140083           -0.00104548          -0.000563993          -0.000433768
0.005m  |            -0.0150188           -0.00322273           -0.00227453           -0.00171561          -0.000940533          -0.000726917
0.006m  |            -0.0179053           -0.00449955           -0.00324009            -0.0024761           -0.00138557           -0.00107772
0.007m  |              -0.01979           -0.00574026           -0.00422506           -0.00327692           -0.00187835           -0.00147231
0.008m  |            -0.0209422            -0.0068685           -0.00516947           -0.00407261           -0.00239722           -0.00189561
0.009m  |             -0.021616           -0.00784325           -0.00603157           -0.00482713            -0.0029217           -0.00233262
 0.01m  |            -0.0219973           -0.00865238           -0.00678813           -0.00551586           -0.00343411           -0.00276953
0.015m  |            -0.0224252            -0.0107142           -0.00901126           -0.00776025           -0.00546415           -0.00462935
 0.02m  |            -0.0224396            -0.0111787           -0.00969274           -0.00856342           -0.00649192           -0.00569927
0.025m  |            -0.0224399            -0.0112908            -0.0100278           -0.00877431           -0.00690718           -0.00618433
 0.03m  |            -0.0224399             -0.011326            -0.0105977           -0.00874095           -0.00708117           -0.00639957
0.035m  |            -0.0224399             -0.011335             -0.011135           -0.00870227           -0.00712132           -0.00658847
 0.04m  |            -0.0224399            -0.0113365            -0.0114088           -0.00872626           -0.00713087           -0.00675324
 0.05m  |            -0.0224399            -0.0113367            -0.0115098            -0.0087695            -0.0072612           -0.00672357




Die approximierten Werte für T:
                           0.01m                 0.12m                  0.2m                  0.3m               0.6995m                    1m
________________________________________________________________________________________________________________________________________________
    0m  |                353.15                353.15                353.15                353.15                353.15                353.15
0.001m  |               345.527                349.04               349.519                349.86               350.472               350.696
0.0015m  |                337.99               344.937               345.893               346.572               347.796               348.243
0.002m  |                330.81               340.868               342.287               343.299               345.126               345.794
0.003m  |               318.689               332.994               335.242               336.867               339.838               340.934
0.004m  |               310.422               325.783               328.632               330.743               334.696                336.18
0.005m  |               305.525               319.545               322.695               325.113               329.803               331.609
0.006m  |               302.869               314.434               317.593               320.123               325.255               327.299
0.007m  |                 301.5               310.437               313.379                315.85               321.129               323.317
0.008m  |               300.813               307.429               310.018               312.304               317.471               319.711
0.009m  |               300.474               305.231               307.414               309.439               314.298               316.506
 0.01m  |               300.307               303.661                305.44               307.175               311.597               313.706
0.015m  |               300.154               300.657               301.137               301.726               303.741               304.962
 0.02m  |                300.15               300.215               300.319               300.475                301.18               301.706
0.025m  |                300.15               300.157               300.175               300.211               300.432               300.631
 0.03m  |                300.15               300.151               300.153               300.159               300.224               300.294
0.035m  |                300.15                300.15                300.15               300.151               300.168               300.192
 0.04m  |                300.15                300.15                300.15                300.15               300.153                300.16
 0.05m  |                300.15                300.15                300.15                300.15                300.15                300.15




